iter	Passed	Remaining
645	7120	3902
646	7131	3890
647	7141	3879
648	7152	3868
649	7162	3856
650	7173	3845
651	7183	3834
652	7193	3822
653	7202	3810
654	7212	3798
655	7221	3786
656	7230	3774
657	7239	3762
658	7248	3750
659	7259	3739
660	7269	3728
661	7278	3716
662	7288	3704
663	7298	3693
664	7309	3681
665	7318	3670
666	7329	3659
667	7338	3647
668	7349	3636
669	7359	3624
670	7369	3613
671	7380	3602
672	7390	3591
673	7401	3580
674	7411	3568
675	7421	3557
676	7432	3545
677	7443	3535
678	7453	3523
679	7464	3512
680	7475	3501
681	7487	3491
682	7500	3481
683	7511	3470
684	7522	3459
685	7534	3448
686	7544	3437
687	7555	3426
688	7567	3415
689	7577	3404
690	7587	3392
691	7598	3381
692	7608	3370
693	7618	3359
694	7629	3348
695	7640	3337
696	7650	3325
697	7661	3314
698	7671	3303
699	7682	3292
700	7692	3281
701	7703	3270
702	7712	3258
703	7723	3247
704	7733	3235
705	7745	3225
706	7757	3214
707	7767	3203
708	7779	3193
709	7789	3181
710	7801	3171
711	7811	3159
712	7820	3148
713	7830	3136
714	7841	3125
715	7851	3114
716	7861	3103
717	7872	3091
718	7883	3081
719	7894	3070
720	7906	3059
721	7917	3048
722	7928	3037
723	7938	3026
724	7948	3015
725	7957	3003
726	7967	2991
727	7977	2980
728	7987	2969
729	7997	2958
730	8006	2946
731	8016	2934
732	8025	2923
733	8036	2912
734	8046	2901
735	8057	2890
736	8067	2878
737	8076	2867
738	8085	2855
739	8094	2844
740	8105	2833
741	8115	2821
742	8125	2810
743	8134	2799
744	8144	2787
745	8154	2776
746	8164	2765
747	8174	2754
748	8184	2742
749	8194	2731
750	8205	2720
751	8214	2709
752	8225	2698
753	8234	2686
754	8244	2675
755	8254	2664
756	8266	2653
757	8277	2642
758	8286	2631
759	8295	2619
760	8305	2608
761	8314	2596
762	8323	2585
763	8333	2574
764	8343	2562
765	8352	2551
766	8362	2540
767	8373	2529
768	8384	2518
769	8396	2508
770	8409	2497
771	8424	2488
772	8441	2478
773	8454	2468
774	8468	2458
775	8485	2449
776	8503	2440
777	8521	2431
778	8533	2420
779	8543	2409
780	8552	2398
781	8563	2387
782	8574	2376
783	8585	2365
784	8595	2354
785	8605	2342
786	8615	2331
787	8625	2320
788	8635	2309
789	8644	2297
790	8654	2286
791	8665	2275
792	8674	2264
793	8683	2253
794	8693	2241
795	8703	2230
796	8713	2219
797	8723	2208
798	8732	2196
799	8741	2185
800	8751	2174
801	8760	2162
802	8770	2151
803	8779	2140
804	8789	2129
805	8799	2117
806	8808	2106
807	8817	2095
808	8827	2084
809	8837	2072
810	8847	2061
811	8857	2050
812	8866	2039
813	8876	2028
814	8886	2017
815	8896	2006
816	8905	1994
817	8913	1983
818	8922	1971
819	8931	1960
820	8941	1949
821	8950	1938
822	8960	1927
823	8969	1915
824	8980	1904
825	8990	1893
826	8999	1882
827	9009	1871
828	9018	1860
829	9027	1849
830	9039	1838
831	9049	1827
832	9059	1816
833	9068	1804
834	9077	1793
835	9087	1782
836	9096	1771
837	9106	1760
838	9116	1749
839	9127	1738
840	9137	1727
841	9146	1716
842	9155	1705
843	9165	1694
844	9175	1683
845	9185	1672
846	9196	1661
847	9206	1650
848	9217	1639
849	9227	1628
850	9237	1617
851	9246	1606
852	9256	1595
853	9266	1584
854	9275	1573
855	9285	1561
856	9295	1551
857	9304	1539
858	9315	1529
859	9324	1517
860	9335	1507
861	9350	1496
862	9382	1489
863	9399	1479
864	9421	1470
865	9433	1459
866	9442	1448
867	9452	1437
868	9461	1426
869	9471	1415
870	9480	1404
871	9490	1393
872	9499	1381
873	9509	1370
874	9519	1359
875	9528	1348
876	9537	1337
877	9547	1326
878	9557	1315
879	9566	1304
880	9576	1293
881	9585	1282
882	9594	1271
883	9603	1260
884	9612	1249
885	9622	1238
886	9631	1227
887	9641	1216
888	9651	1205
889	9661	1194
890	9670	1183
891	9681	1172
892	9689	1161
893	9700	1150
894	9709	1139
895	9718	1128
896	9727	1116
897	9736	1105
898	9745	1094
899	9754	1083
900	9763	1072
901	9772	1061
902	9781	1050
903	9791	1039
904	9801	1028
905	9809	1017
906	9818	1006
907	9828	995
908	9836	984
909	9846	973
910	9855	962
911	9864	951
912	9873	940
913	9883	929
914	9892	918
915	9901	907
916	9909	896
917	9920	886
918	9929	875
919	9939	864
920	9947	853
921	9956	842
922	9965	831
923	9974	820
924	9990	810
925	10006	799
926	10021	789
927	10033	778
928	10046	767
929	10056	756
930	10068	746
931	10078	735
932	10090	724
933	10110	714
934	10134	704
935	10148	693
936	10164	683
937	10179	672
938	10198	662
939	10214	652
940	10229	641
941	10249	631
942	10266	620
943	10279	609
944	10304	599
945	10318	588
946	10330	578
947	10342	567
948	10354	556
949	10364	545
950	10374	534
951	10383	523
952	10392	512
953	10402	501
954	10411	490
955	10420	479
956	10430	468
957	10440	457
958	10449	446
959	10459	435
960	10468	424
961	10479	413
962	10491	403
963	10501	392
964	10511	381
965	10521	370
966	10530	359
967	10540	348
968	10548	337
969	10558	326
970	10567	315
971	10576	304
972	10586	293
973	10594	282
974	10604	271
975	10614	261
976	10623	250
977	10632	239
978	10641	228
979	10651	217
980	10659	206
981	10668	195
982	10676	184
983	10685	173
984	10693	162
985	10702	151
986	10711	141
987	10720	130
988	10730	119
989	10738	108
990	10748	97
991	10757	86
992	10766	75
993	10775	65
994	10784	54
995	10794	43
996	10804	32
997	10813	21
998	10823	10
999	10834	0
